index,element,moment_muB
0,Co,2.7460
1,Co,2.7460
2,Co,2.7460
3,Co,2.7450
4,Co,2.7450
5,Co,2.7450
6,Co,2.7450
7,Co,2.7450
8,Co,2.7530
9,Co,2.7430
10,Co,2.7420
11,Co,2.7420
12,Co,2.0180
13,Co,2.6810
14,Co,2.6960
15,Co,2.4310
16,H,0.0020
17,H,0.0030
18,H,0.0020
19,H,0.0020
20,H,0.0020
21,H,0.0020
22,H,0.0030
23,H,0.0020
24,H,0.0020
25,H,0.0020
26,H,0.0020
27,H,0.0020
28,H,0.0020
29,H,0.0020
30,H,0.0020
31,H,0.0020
32,H,0.0030
33,H,0.0020
34,H,0.0030
35,H,0.0030
36,H,0.0030
37,H,0.0030
38,H,0.0020
39,H,0.0030
40,H,0.0020
41,H,-0.0000
42,H,0.0000
43,H,0.0020
44,H,-0.0030
45,H,0.0010
46,H,0.0010
47,H,-0.0030
48,H,-0.0100
49,H,-0.0100
50,O,0.0970
51,O,0.0910
52,O,0.0940
53,O,0.0940
54,O,0.0950
55,O,0.0960
56,O,0.0930
57,O,0.0990
58,O,0.0980
59,O,0.0980
60,O,0.0980
61,O,0.0980
62,O,0.0970
63,O,0.0970
64,O,0.0970
65,O,0.0970
66,O,0.0940
67,O,0.0990
68,O,0.0940
69,O,0.0960
70,O,0.0940
71,O,0.0940
72,O,0.0930
73,O,0.0930
74,O,0.0810
75,O,0.0860
76,O,0.0680
77,O,0.0800
78,O,0.0050
79,O,0.0440
80,O,0.0800
81,O,0.0040
