index,element,moment_muB
0,Co,-0.0610
1,Co,-0.0610
2,Ni,1.3170
3,Ni,1.3170
4,H,0.0020
5,H,0.0020
6,H,0.0020
7,H,0.0020
8,O,-0.1400
9,O,0.0290
10,O,-0.1400
11,O,0.0290
12,O,0.0290
13,O,-0.1400
14,O,0.0290
15,O,-0.1400
